text,based_on,applied,received,acknowledgement,second,third,cermony,marriage,residency,stamp,irish_descent,origins
Application Based On 5+ years of residency - UK Citizen Applied On 1st Feb 2018 Application received On Pending Acknowledgement Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,5+ years of residency - UK Citizen,2018-02-01,,,,,,False,True,,False,UK
Posting on behalf of a friend who's not in this group  Application Based On 5 years (Non-EU) Applied On 02/02/2018 Application received On 04/02/2018 Acknowledgement  07/02/2018 Second Letter 23/07/2018 Awaiting On Approval 03/09/2018 Date of Ceremony Pending,5 years (Non-EU),2018-02-02,2018-02-04,2018-02-07,2018-07-23,2018-09-03,,False,False,,False,Non-EU
Application Based On Civil partnership with Irish Citizen (3 yrs) Applied On 03/02/2018 Application received On 06/02/2018 Acknowledgement Received on 26/02/2018 (dated 12/02/2018) informing that my application has been initially processed and moved to the second stage of processing. Passports returned as well. Second Letter 26/02/2018 Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership with Irish Citizen (3 yrs),2018-02-03,2018-02-06,2018-02-26,2018-02-26,,,True,False,,False,N/A
Application Based On Civil partnership with Irish Citizen (3 yrs) Applied On 03/02/2018 Application received On 06/02/2018 Acknowledgement Received on 26/02/2018 (dated 12/02/2018) informing that my application has been initially processed and moved to the second stage of processing. Passports returned as well. Second Letter 26/02/2018 Awaiting On Approval Received on 23/10/2018 (dated 18/10/2018) Date of Ceremony 26/11/2018 (Received on 07/11/2018 - dated 06/11/2018),Civil partnership with Irish Citizen (3 yrs),2018-02-03,2018-02-06,2018-02-26,2018-02-26,2018-10-23,2018-11-26,True,False,,False,N/A
Application Based On Civil partnership with Irish Citizen (3 yrs) Applied On 03/02/2018 Application received On 06/02/2018 - Signed by xxxxxxxx Acknowledgement Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending  Moderator edit  name removed.,Civil partnership with Irish Citizen (3 yrs),2018-02-03,2018-02-06,,,,,True,False,,False,N/A
Application Based On Civil partnership with Irish Citizen (3 yrs) Applied On 03/02/2018 Application received On Pending Acknowledgement  Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,Civil partnership with Irish Citizen (3 yrs),2018-02-03,,,,,,True,False,,False,N/A
Application based on 5years residence Applied on 13/02/18 Application received on 14/02/18 Acknowledgment 20/02/2018 Second letter 11/09/2018 Awaiting approval Pending Date of ceremony Pending,5years residence,2018-02-13,2018-02-14,,,,,False,True,,False,N/A
Application Based On 17+ years residency Applied On 20/02/2018 Application received On 21/02/2018 Acknowledgement 21/02/2018 Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,17+ years residency,2018-02-20,2018-02-21,2018-02-21,,,,False,True,,False,N/A
Application Based On  5+ years residency (non-EU) Applied On 07/03/18 Second Stage  16/03/18  letter stating application proceeded to second stage and original passport returned  Application Granted 26/09/18 letter stating application was granted and requested the payment fee of 950.  Ceremony Date Pending… The last letter says that it is essential to submit the fee and documentation within 10 days of reception of the letter to be included in the next citizenship ceremony,5+ years residency (non-EU),2018-03-07,,,,,,False,True,,False,Non-EU
Application Based On 5+ year residency EU Applied On 8 March 2018 Application received On 9 March 2018 Acknowledgement  30 May 2018 Second Letter 29 March 2019 Awaiting On Approval 10 April 2019  Date of Ceremony confirmed by INIS today invitation for 29th April 2019 ceremony issued and posted - should receive it after Easter,5+ year residency EU,2018-03-08,2018-03-09,2018-05-30,2019-03-29,2019-04-10,2019-04-29,False,True,,False,EU
"Application Based On spouse of an irish Application sent on march 9, 2018 Application received On march 12, 2018 Acknowledgment 4 weeks after receive my passport back from their office  Second Letter May 2018, July ask additional documents Approved August 2018 Date of Ceremony waiting",spouse of an irish,2018-03-09,2018-03-12,,2018-05-01,,,True,False,,False,N/A
"Application Based On 5+ years residency (stamp 3 and 1). Completed application myself. Non-EU One year prior to application absences according with the limit  Application sent 12/3/2018 (registered post) Application received On 13/3/2018 (registered post) Acknowledgement sent 14/3/2018 (passport returned, no reference number yet) 'Due to high volumes of applications, your application has not yet been fully assessed. This being the case you might be requested to submit further docs. Your application number will be issued in due course.""  Second Letter  Awaiting On Approval Date of Ceremony",5+ years residency (stamp 3 and 1). Completed application myself. Non-EU,2018-03-12,2018-03-13,,,,,False,True,stamp 3 and 1). Completed application myself. Non-EU,False,Non-EU
Application Based On 5+ years residency (stamp 1 and 4). Completed application myself. Applied On 13/3/2018 Application received On 14/3/2018 (courier) Acknowledgement  29/3/2018 (passport returned) Second Letter  Awaiting On Approval Date of Ceremony,5+ years residency (stamp 1 and 4). Completed application myself.,2018-03-13,2018-03-14,2018-03-29,,,,False,True,stamp 1 and 4). Completed application myself,False,N/A
UPDATE / NO CHANGE Application Based On 5+ years residency (stamp 1 and 4). Non-EU. Completed application myself. Applied On 13/3/2018 Application received On 14/3/2018 (courier) Acknowledgement 29/3/2018 (passport returned) Update 27/4/2018 - nothing further received... just waiting. My references have not been contacted.,5+ years residency (stamp 1 and 4). Non-EU. Completed application myself.,2018-03-13,2018-03-14,2018-03-29,,,,False,True,stamp 1 and 4). Non-EU. Completed application myself,False,Non-EU
"Application Based On Non-EU, 5+ years residency (stamp 1 and 4). Completed application myself.  Applied On 15/03/2018 Application received On 16/03/2018 Acknowledgement 20/03/2018 Second Letter N/A Awaiting On Approval N/A Date of Ceremony N/A","Non-EU, 5+ years residency (stamp 1 and 4). Completed application myself.",2018-03-15,2018-03-16,2018-03-20,,,,False,True,stamp 1 and 4). Completed application myself,False,Non-EU
Application Based On Married to Irish citizen (UK citizen) Applied On 15th March 2018 Application received On 20th March 2018 Acknowledgement  29th March 2018 (passport returned) Application Reference Number 1st June 2018 Second Stage of Processing 10th June 2019   Awaiting On Approval Date of Ceremony,Married to Irish citizen (UK citizen),2018-03-15,2018-03-20,2018-03-29,,,,True,False,,False,UK
Application Based On Spouse of Irish National  Applied 15 March 2018  Application received 20 March 2018  Acknowledgement  posted same day they received the application. Passport returned along with application number and request for more bank statements and doctor’s letter. We posted the extra evidence to them on 31 March. No further correspondence until the Second Stage letter was sent.   Second Stage letter posted 12 July 2018  Approval letter posted 16 August 2018  Date of Ceremony Pending  We feel very relieved to have received the approval letter. We had a turnaround time of 5 months so we have been very fortunate.  Good luck to all still waiting.,Spouse of Irish National,2018-03-15,2018-03-20,,,2018-08-16,,True,False,,False,N/A
Posting on behalf of a friend  Application Based On 5 years (Non-EU) Applied On 20/03/2018 Application received On 22/03/2018 Acknowledgement  04/04/2018 Second Letter 18/07/2018 Awaiting On Approval 30/08/2018 Date of Ceremony Pending,5 years (Non-EU),2018-03-20,2018-03-22,2018-04-04,2018-07-18,2018-08-30,,False,False,,False,Non-EU
"Application Based On 5+ years residency (non-EU) Applied On 23/03/2018 (via solicitor) Application received On 26/03/2018 Acknowledgement and Second Letter 30/03/2018 (Letter, passports and a receipt) Awaiting On Approval Pending Date of Ceremony Pending",5+ years residency (non-EU),2018-03-23,2018-03-26,2018-03-30,2018-03-30,,,False,True,,False,Non-EU
"Application Based On 5+ years residency (non-EU) Applied On 23/03/2018 (via solicitor) Application received On 26/03/2018 Acknowledgement and Second Letter 30/03/2018 (Letter, passports and a receipt) Awaiting On Approval 21/09/2018 Date of Ceremony Pending  Exactly 6 months)",5+ years residency (non-EU),2018-03-23,2018-03-26,2018-03-30,2018-03-30,2018-09-21,,False,True,,False,Non-EU
"Application Based On 5+ years residency (non-EU) Applied On 23/03/2018 (via solicitor) Application received On 26/03/2018 Acknowledgement and Second Letter 30/03/2018 (Letter, passports and a receipt) Awaiting On Approval 21/09/2018 Date of Ceremony 26/11/2018 (received 26/10/2018)",5+ years residency (non-EU),2018-03-23,2018-03-26,2018-03-30,2018-03-30,2018-09-21,2018-11-26,False,True,,False,Non-EU
"Application Based On Non-EU, 5+ years residency (stamp 1 and 4). Completed application myself.   Application sent 23/3/2018 (registered post) Application received On 26/3/2018 (registered post) Acknowledgement sent 29/3/2018 (passport returned, no reference number yet) 'Due to high volumes of applications, your application has not yet been fully assessed. This being the case you might be requested to submit further docs. Your application number will be issued in due course.""","Non-EU, 5+ years residency (stamp 1 and 4). Completed application myself.",2018-03-23,2018-03-26,,,,,False,True,stamp 1 and 4). Completed application myself,False,Non-EU
"UPDATE  Just got a letter (on 26/10/2018) in which they request a handwritten letter explaining why my passport signature mismatch the one on the application form (wrote them my handwriting has simply evolved since then (10 years ago), additional P60/21s, more utility bills, original passport (again), and more bank statements showing I was purchasing in the State.  THEREFORE Application Sent 30/03/2018 Application received on (returning passport) 11/04/2018 Acknowledgement and second Letter11/06/2018 Letter from the DOJ requiring additional docs & passport 26/10/2018",,2018-03-30,2018-04-11,,,,,False,False,,False,N/A
EU Citizen & 5+ years in ireland Applied (via Solicitor) on 30/03/2018 Acknowledgement from INIS (returning passport) 11/04/2018 Acknowledgement from INIS (appl. no issued) 11/06/2018,,2018-03-30,,2018-04-11,,,,False,False,,False,N/A
"Update  [EU Citizen + Irish Associations + 7 years in Ireland]  Application Sent (via Solicitor) 30/03/2018 Acknowledgement of Application & returning passport 11/04/2018 Acknowledgement of Application, supporting docs & fee  11/06/2018 Letter from the DOJ requiring additional docs & passport 26/10/2018 Second Stage Letter & returning passport 23/11/2018",,2018-03-30,,,,,,False,False,,False,N/A
"Approval received today (letter dated 19/03/2019) from Team 2.  Application Sent 30/03/2018 Acknowledgement of Application & returning passport 11/04/2018 Acknowledgement of Application, supporting docs & fee 11/06/2018 Letter from the DOJ requiring additional docs & passport 26/10/2018 Second Stage Letter & returning passport 21/11/2018 Approval Letter 19/03/2019",,2018-03-30,,,,,,False,False,,False,N/A
"Finally received my invitation today     Application Based On 7 yrs residence (EU National) + Irish Associations Application Sent (via Solicitor) 30/03/2018 Acknowledgement of Application & returning passport 11/04/2018 Acknowledgement of Application, supporting docs & fee 11/06/2018 Letter from the DOJ requiring additional docs 26/10/2018 Second Stage Letter 23/11/2018 Approval Letter 19/03/2019 Invitation to Ceremony 10/04/2019 (dated 03/04/2019) Date of Ceremony 29/04/2019 @ 1305",7 yrs residence (EU National) + Irish Associations,2018-03-30,,,,2019-03-19,2019-04-10,False,True,,True,EU
Application Based On 5 years residency  Applied On early April 2018 Application received On early April 2018 Acknowledgement  mid May 2018 Second Letter end September 2018 Approval end October 2018 Date of Ceremony end November 2018,5 years residency,2018-04-01,2018-04-01,2018-05-01,2018-09-01,2018-10-01,2018-11-01,False,True,,False,N/A
Application Based On 3 years spouse of irish citizenship  Applied On 25th of April 2018 Application received On 27th April 2018 Acknowledgement  1st of May 2018 return original Passport. Asked last 3 years proof on address for each year 2 different proof of address. Last 3 years bank statements. Details with written letter how many times I was abroad also what type of social welfare payments are you receive at the moment and when did you state this social welfare payments and till now exact details. ( guy's is this acknowledgement letter or just initial stage letter please tell me about this letter if any one knows about this.??? ) Second Letter Pending Awaiting On ApprovalPending Date of Ceremony Pending,3 years spouse of irish citizenship,2018-04-01,2018-04-27,2018-05-01,,,,True,False,,False,N/A
"Application Based On 5 year non-EU (Stamp 1 and Stamp 4) Applied On 04/04/2018 Application received On 06/04/2018 Acknowledgement  15/06/2018 (passport returned before, but fee receipt with letter sent this day) Second Letter  Awaiting On Approval Date of Ceremony",5 year non-EU (Stamp 1 and Stamp 4),2018-04-04,2018-04-06,2018-06-15,,,,False,True,Stamp 1 and Stamp 4,False,Non-EU
"Application Based On  Foreign Birth Registry (FBR) Applied On  April 9, 2018 (electronic submission) Application received On  April 16, 2018 (paper documents) Acknowledgement   April 16, 2018 (via email) Second Letter  Pending Awaiting On Approval Pending",Foreign Birth Registry (FBR),2018-04-09,2018-04-16,2018-04-16,,,,False,False,,True,N/A
"Application Based On 5+ years residency Non EU Applied On 13/4/2018 Application received On 14/4/2018 Acknowledgement 11/5/2018 (passport returned) First letter 11/5/2018 (fee receipt, and reference number, stating your application is initially assessed and moved to 2nd stage ) Second stage  ?? Email sent on 11/7/2019 for latest status  Email Response received on 14/08/2019  "" Your  application is currently at an advanced stage of processing"". While it is  not  possible  to give an exact timeframe, this office will be in touch with you as soon as a decision has been reached  ""  Moderator edit  questions removed from the timeline only thread",5+ years residency Non EU,2018-04-13,2018-04-14,2018-05-11,,,,False,True,,False,Non-EU
"Application Based On 3+years spouse of Irish national  Applied On 18April,2018 Application received On 20April,2018 Acknowledgement  27April,2018 original passport returned +ask more Dox which is already submitted  Second Letter n/a Awaiting On Approval n/a",3+years spouse of Irish national,2018-04-18,2018-04-20,2018-04-27,,,,True,False,,False,N/A
"Application based on Irish spouse 3yrs  Applied  April 23/2018 Acknowledgement  26/July 2018 Second letter further prove of address from 2015,utilities/bills and bank statements showing transaction from 2015, I have moved house from 2016 which I obviously do not have my old utility bills.but I was able to get bank statements from bank.can some one please help me on what to do am confused and don’t know how to go about this please.thanks",Irish spouse 3yrs,2018-04-23,,2018-07-26,,,,True,False,,False,N/A
"Application Based On 5 year residency (stamp 1 & stamp 4) Applied On 24th April 2018 Application received On 25th April 2018 Acknowledgement   8th May 2018 ( due to high volume   your application is still being assessed, application number will be issued in due course ( anyone knows how longs it is ? )  + current passport returned ( old passport is still retained) )    Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending",5 year residency (stamp 1 & stamp 4),2018-04-24,2018-04-25,2018-05-08,,,,False,True,stamp 1 & stamp 4,False,N/A
Applied on  27 April 2018 Acknowledgement letter  3rd May 2018  Second letter  1st  July 2018 Approval letter  10th August 2018 Ceremony date  Pending..,,2018-04-27,,2018-05-03,2018-07-01,2018-08-10,,False,False,,False,N/A
Application Based On 5 years (Non EU) Stamp 4 Applied On 29 April 2018 Acknowledgement  28 May 2018 Second Letter 18 June 2018 Awaiting On Approval Pending Date of Ceremony Pending,5 years (Non EU) Stamp 4,2018-04-29,,2018-05-28,2018-06-18,,,False,True,Stamp 4,False,Non-EU
Application Based On stamp 1 & stamp4 Applied On may 2018 Application received On may 2018 Acknowledgement  june 2018 (6 weeks from submission)  Second Letter April 2019 Awaiting On Approval 10th jan 2020 approval letter received Date of Ceremony Pending,stamp 1 & stamp4,2018-05-01,2018-05-01,2018-06-01,2019-04-01,2020-01-10,,False,True,stamp 1 & stamp4,False,N/A
Applied On 01/05/2018  Application received On 02/05/2018 Acknowledgement  28/05/2018 Second Letter 28/05/2018 ( process to the  2nd stage ) Awaiting On Approval N/A Date of CeremonyN/A    I was ring last week they said you application process on normal way.   After 1 weeks I call them again they said you Application already send to the minister decision. Within 4 weeks you will get reply from department.,,2018-05-01,2018-05-02,2018-05-28,2018-05-28,,,False,False,,False,N/A
Application Based On Irish Spouse  Applied On 02 May 2018 Application received On 03 May 2018 Acknowledgement  received 08 May  plus ask bank statement for three years. Next day Bank Statements sent  Second Letter waiting Awaiting On Approval waiting Date of Ceremony  waiting,Irish Spouse,2018-05-02,2018-05-03,,,,,True,False,,False,N/A
"Application Based On Non EU 3 year marriage to Irish spouse. Applied On 04 May 2018. Application received On 08 May 2018.  Acknowledgement 10 May 2018. Got my passport back. Asked for more docs (letter from GNIB to confirm my stamps, P60 for 2015, Older bank statements & Utility bills). All sent on 18 May 2018. Second Letter 12 July 2018. Asked for letter from my GP where I registered showing dates I attended. Also asked for 3 proofs of residence for both me and spouse for last 3 months prior to application (even though I have already done it on application).  Awaiting On Approval Pending. Date of Ceremony Pending.",Non EU 3 year marriage to Irish spouse.,2018-05-04,2018-05-08,2018-05-10,2018-07-12,,,True,False,,False,Non-EU
"[quote=otono post_id=1708420 time=1542973494 user_id=199220] [quote=otono post_id=1660899 time=1532254404 user_id=199220] Application Based On Non EU 3 year marriage to Irish spouse. Applied On 04 May 2018. Application received On 08 May 2018.  Acknowledgement 10 May 2018. Got my passport back. Asked for more docs (letter from GNIB to confirm my stamps, P60 for 2015, Older bank statements & Utility bills). All sent on 18 May 2018. Second Letter 12 July 2018. Asked for letter from my GP where I registered showing dates I attended. Also asked for 3 proofs of residence for both me and spouse for last 3 months prior to application (even though I have already done it on application).  UPDATE  Second Letter 23/11/2018  Awaiting On Approval 25/03/2019. Date of Ceremony 29/04/2019 (Got confirmation via email I will be attending April ceremony). Goodluck to everyone",Non EU 3 year marriage to Irish spouse.,2018-05-04,2018-05-08,2018-05-10,2018-07-12,2019-03-25,2019-04-29,True,False,,False,Non-EU
My wife timeline    Application Based On 5 yr residency EU citizen Applied On 8 May 2018 Application received On 10 May 2018 Acknowledgement  10 Jun 2018 Second Letter 10 Jun 2018 Awaiting On Approval 15 Oct 2018 Date of Ceremony 30 Nov 2018  My timeline    Application Based On 5 yr residency EU citizen Applied On 8 May 2018 Application received On 10 May 2018 Acknowledgement  20 Jun 2018 ( due to high volume of applications it was not fully assessed) Second Letter 9 Jun 2019 .. after 1 year   Awaiting On Approval Pending Date of Ceremony Pending,5 yr residency EU citizen,2018-05-08,2018-05-10,2018-06-10,2018-06-10,2018-10-15,2018-11-30,False,True,,False,EU
"Application Based On 5 years Stamp4EUFAM Applied On 08/05/2018 Application received On 13/05/2018 Acknowledgement and passport returned   25/05/2018 Last 10 Years Address UK and Ireland  Awaiting On Approval n/a Date of Ceremony n/a  Suggest including last country of residence, as this also might also impact processing time due to the background checks department apparently does.",5 years Stamp4EUFAM,2018-05-08,2018-05-13,,,,,False,True,Stamp4EUFAM,False,EU
"Application Based On 5+ years residency (non-EU) Applied On 09/05/2018 Application received On 10/05/2018 Acknowledgement Letter 29/05/2018 (Passports returned but the letter said  Due to high volume, application hasn't been fully assessed. Application reference number will be issued in due course.) Second Letter 26/07/2018 (Application fee receipt and reference number issued with an advice to contact if there is a change in circumstances. It also has an Important Note Application has not been fully examined in full and unable to confirm if statutory conditions are met until a further examination takes place. Approval Letter Awaiting Date of Ceremony Unlikely to be 26th Nov 2018    Moderator edit TIMELINE THREAD ONLY please. Question post removed.  Best wishes to everyone! AVISB",5+ years residency (non-EU),2018-05-09,2018-05-10,2018-05-29,2018-07-26,,2018-11-26,False,True,,False,Non-EU
Application Based on5+ years residency (non-EU) Applied on 09/05/2018 Second Letter 18/07/2018 Approval12/10/2018 .Send 950 Draft 23/10/2018  Date of Ceremony 26 /11/2018 ( Received ON 13/11/2018,5+ years residency (non-EU),2018-05-09,2018-11-13,,2018-07-18,,2018-11-26,False,True,,False,Non-EU
Application Based On 5 year residency (stamp 1 & stamp 4) Applied On 10th May 2018 Application received On 11th May 2018 Acknowledgement  Pending Second Letter Pending Awaiting On Approval Pending Date of Ceremony Pending,5 year residency (stamp 1 & stamp 4),2018-05-10,2018-05-11,,,,,False,True,stamp 1 & stamp 4,False,N/A
"Application Based On 5+ years residency (stamp 1 and 4). Completed application myself. Non-EU  Application sent 15/5/2018 (registered post) Application received 16/5/2018 Acknowledgement received 29/5/2018 (passports returned, application number given, application assessed and moved to the 2nd stage) Second Letter 29/5/2018 (together with acknowledgment)  Awaiting On Approval Pending Date of Ceremony Pending",5+ years residency (stamp 1 and 4). Completed application myself. Non-EU,2018-05-15,2018-05-16,,2018-05-29,,,False,True,stamp 1 and 4). Completed application myself. Non-EU,False,Non-EU
"Application Based On 3 years Marriage of Egyptian woman to Irish Citizen  (Married Sept 14 2014) (Resident since Dec 1 2014) (Dec 17, 3 years stamp 4) (Jan 18 to May 18 assembling all information required) Applied On 17/05/2018 by registered post Application received On 18/05/2018 Acknowledgement  22/05/2018 original passport returned and receipt for €175  Second Letter 13/07/2018 Awaiting On Approval 25/02/2019 received letter proposing to grant application by minister, forwarded €950 & GNIB Card by registered post.  Date of Ceremony Pending","3 years Marriage of Egyptian woman to Irish Citizen  (Married Sept 14 2014) (Resident since Dec 1 2014) (Dec 17, 3 years stamp 4) (Jan 18 to May 18 assembling all information required)",2018-05-17,2018-05-18,2018-05-22,2018-07-13,2019-02-25,,True,True,stamp 4) (Jan 18 to May 18 assembling all information required,False,N/A
I received second stage letter yesterday so new info  Based on 13 years marriage and nearly 25 years residency (26/07) NI Applied on 17/05/18 Acknowledgement 21/05/18 Second Stage Letter 11/07/19 Approval waiting Ceremony date waiting,13 years marriage and nearly 25 years residency (26/07) NI,2018-05-17,,2018-05-21,,,,True,True,,False,N/A
"Approval letter arrived Wednesday 20/11/2019...just have to send money off and get a ceremony date, chance I will get 9th Dec but idk yet  Based on 13 years marriage and nearly 25 years residency (26/07) NI Applied on 17/05/18 Acknowledgement 21/05/18 Second Stage Letter 11/07/19 Approval 20/11/19 Ceremony date waiting",13 years marriage and nearly 25 years residency (26/07) NI,2018-05-17,,2018-05-21,,2019-11-20,,True,True,,False,N/A
"Application Based On 5+ years residency (stamp 1 and 4). Completed application myself. Non-EU  Application sent 21/5/2018 (registered post) Application received 23/5/2018 Acknowledgement received 28/5/2018 (passports returned, application number given, application assessed and moved to the 2nd stage) Second Letter 28/5/2018 (together with acknowledgment)  Awaiting On Approval Date of Ceremony",5+ years residency (stamp 1 and 4). Completed application myself. Non-EU,2018-05-21,2018-05-23,,2018-05-28,,,False,True,stamp 1 and 4). Completed application myself. Non-EU,False,Non-EU
Application Based On 5+ years residency (stamp 1+4). Completed application myself. Non-EU  Application sent 21/5/2018  Application received 23/5/2018 Acknowledgement received 28/5/2018 (application assessed and moved to the 2nd stage) Second Letter 28/5/2018 (together with acknowledgment) Awaiting On Approval 29/8/2018 Date of Ceremony,5+ years residency (stamp 1+4). Completed application myself. Non-EU,2018-05-21,2018-05-23,,2018-05-28,2018-08-29,,False,True,stamp 1+4). Completed application myself. Non-EU,False,Non-EU
Application Based On Spouse of Irish citizen Applied On 22/05/2018 Application received On 24/05/2018 Acknowledgement  28/05/2018. Asked for additional details which were posted on 22/06/2018 Second Letter Awaiting Awaiting On Approval Awaiting Date of Ceremony Awaiting,Spouse of Irish citizen,2018-05-22,2018-05-24,2018-05-28,,,,True,False,,False,N/A
Application Based On 5 year residency Eu Applied On May 23 2018 Application received On May 24 2018 Acknowledgement  8 June 2018 Second Letter  Awaiting On Approval Date of Ceremony,5 year residency Eu,2018-05-23,2018-05-24,2018-06-08,,,,False,True,,False,EU
Application Based On 5 year residency Eu Applied On May 23 2018 Application received On May 24 2018 Acknowledgement  8 June 2018 Second Letter 8 June 2018 Awaiting On Approval 20 March 2019 approved and paid. Date of Ceremony 29th April 2019,5 year residency Eu,2018-05-23,2018-05-24,2018-06-08,2018-06-08,2019-03-20,2019-04-29,False,True,,False,EU
Posting on behalf of my sister's application for naturisalation.applied on 23rd may 2018 aknowldwgent letter 26th June 2018 return of passport receipt of payment with reference number  stage 2 letter 08 August 2018 asking for written explanation for absence from Ireland for over 7 months plus proof of address of the year 2011 and 2013 documents sent back 18th August 2018.since then there is no correspondence from the department its been over 15 months since the application was lodged sent letters through solicitors few times to ask for update same answer every time your clients application is being processed in view to establish whether they meet statuary conditions of granting naturalisation.,,2018-05-23,,,,,,False,False,,False,N/A
Application Based On Married to Irish citizen (Non EU) Applied On 26th May 2018 Application received On 27th May 2018 Acknowledgement reference number assigned  24th June 2018 (passport returned) Second Stage of Processing 7th July 2019 Awaiting On Approval Awaiting Date of Ceremony,Married to Irish citizen (Non EU),2018-05-26,2018-05-27,2018-06-24,,,,True,False,,False,Non-EU
Application Based On 5 years Residency (Non EU) Applied On 28th May 2018 Application received On 29th May 2018 Acknowledgement/Reference number 15th June 2018 (passport returned) Second Stage of Processing 12th July 2019 Approval 19th Nov 2019 Date of Ceremony 9th Dec 2019,5 years Residency (Non EU),2018-05-28,2018-05-29,2018-06-15,,2019-11-19,2019-12-09,False,True,,False,Non-EU
